ds,yhat,yhat_lower,yhat_upper
2024-03-02,464.97476898664445,138.9902820489013,801.8654336787014
2024-03-03,503.15825259156185,172.0241305955399,842.2875000054181
2024-03-04,487.1419556107337,168.69362910922226,808.816654210754
2024-03-05,512.1119350378204,184.57179238254452,831.4069361828974
2024-03-06,494.2959794596174,171.44923523508177,850.793116788133
2024-03-07,547.2387081968443,255.80261595390965,891.1401312335904
2024-03-08,497.8176695957761,189.79557791141644,818.4348732824608
2024-03-09,508.67137573737716,190.55226751934447,855.623198648592
2024-03-10,541.6079336191372,204.97183762810047,862.1529303092261
2024-03-11,520.0056408545418,170.17892376930135,852.0861142060988
2024-03-12,539.1667253940508,197.81857947826268,835.1039823457091
2024-03-13,515.4398668516736,185.35270199820127,860.7765022221273
2024-03-14,562.4926641025386,238.9576733409124,897.9774817444185
2024-03-15,507.26397545460617,172.49880249203085,811.003883369984
2024-03-16,512.572376770864,185.82761319605035,835.2852396199082
2024-03-17,540.3389680362203,214.65924080126837,862.3563907498125
2024-03-18,514.0464525379113,191.03694181004983,856.428976488577
2024-03-19,529.0904835741775,158.0048707689114,844.4848581497553
2024-03-20,501.9000243213607,173.9376825104035,819.8225681513579
2024-03-21,546.2079397537365,238.37644095005476,879.0048368064589
2024-03-22,489.0017951545912,135.41153339453905,812.5197662667628
2024-03-23,493.131147535637,175.03515090091093,833.430516876971
2024-03-24,520.5295929365234,187.50856873996088,846.6419625121348
2024-03-25,494.6735168218168,155.26044106803977,831.5172982377272
2024-03-26,510.93355534347256,174.9006212656311,850.1681914563654
2024-03-27,485.7521223244665,159.4688479539223,811.98348262622
2024-03-28,532.7451767494952,182.63156870359995,882.0895730172499
2024-03-29,478.8242562251271,160.37668823880247,815.9689040168703
2024-03-30,486.7489617692927,150.44616514977685,799.8079520248893
2024-03-31,518.3511518802692,169.31117898008776,828.8869593272163
2024-04-01,496.99613651636355,171.70539037746522,846.4478369668595
2024-04-02,517.9368211989828,170.73496878639557,823.6509848205584
2024-04-03,497.43748474662016,177.49173577977132,843.2243511687466
2024-04-04,549.0483312879774,215.90828305348228,860.4732874177882
2024-04-05,499.5606984576511,187.1224499862364,817.122557701088
2024-04-06,511.61910319021854,190.06408570464208,843.4963456811101
2024-04-07,546.9482734055438,213.6346700471459,879.3655338538591
2024-04-08,528.8169911138505,192.81085626344293,859.7521005105509
2024-04-09,552.3946290348533,213.8612100894821,885.2327218006376
2024-04-10,533.8770020019218,195.15557059657493,854.7609085957107
2024-04-11,586.7626191330277,224.8241111205345,921.438795737679
2024-04-12,537.8091730833589,223.34925776519964,872.6444814185493
2024-04-13,549.6464126017562,216.18738822776024,861.4922763273665
2024-04-14,584.0035229152165,267.5430476539636,908.7696471050592
2024-04-15,564.1728278941611,227.17628264012782,887.6080638377085
2024-04-16,585.4010612473037,256.88516922098296,929.4460787975469
2024-04-17,563.9080213000854,228.8107980270157,866.5277907458953
2024-04-18,613.2673627017194,269.1321817440578,949.1726812494852
2024-04-19,560.3257586194445,238.40161480616766,900.6456182928118
2024-04-20,567.8134495227453,248.0017473598651,906.3511951345027
2024-04-21,597.568998223352,265.3872361883517,922.4767433084124
2024-04-22,573.0001327642042,254.63215959884784,896.9351729273036
2024-04-23,589.4366346462673,256.4884566714299,918.914180642707
2024-04-24,563.2519865681656,259.0326134349406,898.2054832731513
2024-04-26,551.0411960342984,229.99399517335834,875.1213510380488
2024-04-27,554.8007662615071,243.09257112868423,888.8722905760659
2024-04-28,581.3404567379731,255.72318864724315,918.2524128608175
2024-04-29,554.1422449925486,221.32614042703142,888.8346353608009
2024-04-30,568.5942799594691,239.6983947918466,899.1754274528676
2024-05-01,541.111035720315,214.61524619189007,862.0088835683215
2024-05-02,585.4038889137477,274.4038273773499,951.5442558012127
2024-05-03,528.4321062494387,164.5143414654309,847.2937706523924
2024-05-04,533.0105344750468,223.25606134122543,853.2530282132501
2024-05-05,561.0322555366744,248.8412177291673,873.666756019383
2024-05-06,535.9335775790648,223.56781726145303,866.6223132231635
2024-05-07,553.0302054286311,221.48762572688054,888.9200013422234
2024-05-08,528.6556204592324,200.8256431465075,855.4484882081731
2024-05-09,576.4285525826946,270.5009561200563,933.3206640664995
2024-05-10,523.2066190126646,179.65765111253947,850.8857472808658
2024-05-11,531.6969198752192,181.60559326255665,858.4599939052824
2024-05-12,563.6817737680678,228.74619798879,885.6159949667096
2024-05-13,542.481448698228,243.3565069052306,888.3511669099147
2024-05-14,563.3097947554594,243.95845461467252,897.6030877283637
2024-05-15,542.399417828867,191.49975453250903,881.1943658152691
2024-05-16,593.277491756316,294.1031991068048,923.8777423743879
2024-05-17,542.7220497654788,206.21157400553017,885.2018558166255
2024-05-18,553.3748990701174,200.4744748068471,871.6104525768836
2024-05-19,586.9692740328759,258.257314960087,908.4021656074673
2024-05-20,566.7940263121611,215.00223833118082,901.1576043399323
2024-05-21,588.0502136783794,251.69220309015859,902.8236715339699
2024-05-22,566.9766958653908,246.57359326242832,910.3691770036387
2024-05-23,617.1258186043823,290.04127420924794,930.0910343789872
2024-05-24,565.3190257714575,240.27995760217436,900.6970009463804
2024-05-25,574.2585580673701,246.7034011110665,910.7071455155427
2024-05-26,605.7565033923341,299.337704962664,946.8283213316132
2024-05-27,583.1874418774132,260.6533631970438,897.9778005017196
2024-05-28,601.8518046807256,266.6686586202864,932.347611143934
2024-05-29,578.0954251235121,242.01231050312188,949.1619652744886
2024-05-30,625.5820430947219,271.38606905118394,956.9550339111023
2024-05-31,571.2455707249885,233.251455883274,878.5741671231375
2024-06-01,577.8983714429097,256.00331566205983,907.8111886337873
2024-06-02,607.4537944277413,281.4179965299057,926.2857657488487
2024-06-03,583.3849044785386,244.44315918399158,915.5255418955669
2024-06-04,601.0754217907752,285.90078314132086,938.8337887358537
2024-06-05,576.9396398566954,267.1863166867844,903.8270162991374
2024-06-06,624.692565138503,310.19360032691833,961.239560719416
2024-06-07,571.3002790881815,248.45646519989646,898.5873442127678
2024-06-08,579.5868351894514,270.81487820282734,912.0028540706124
2024-06-09,611.45597972254,269.06077927989827,945.1516378025924
2024-06-10,590.3496676083369,253.2820904301998,906.104002757757
2024-06-11,611.599402760347,286.12474789475124,945.1156164265916
2024-06-12,591.5471690902996,255.45479724257532,913.8129120678586
2024-06-13,643.817176576613,301.5583815647281,972.8483740061823
2024-06-14,595.2683881488308,256.87143004428293,903.2742738194058
2024-06-15,608.6040817189972,300.0244637162455,951.4522318657185
2024-06-16,645.596681637888,313.3438876461878,989.9386056223775
2024-06-17,629.5497384451035,302.7601072899387,948.730171003947
2024-06-18,655.6530015120107,329.18737016506117,996.293055129457
2024-06-19,640.1072497147503,320.0957472809876,976.1761556130361
2024-06-20,696.3999987795404,348.5038857372078,1021.5023561195217
